x,y,C
38,4,7.311439935550831e-10
39,4,1.9015106139596722e-9
40,4,6.588910549814878e-9
41,4,1.3696650274476352e-8
42,4,2.5459745824742275e-8
43,4,3.96023189392492e-8
44,4,5.597932979176288e-8
45,4,7.561720096666134e-8
46,4,9.882713557074291e-8
47,4,1.257502467377655e-7
48,4,1.553601306398825e-7
49,4,1.8547741704221143e-7
50,4,2.070638848655638e-7
51,4,2.1869048983446547e-7
52,4,2.2354928936439172e-7
53,4,2.1574710979465685e-7
54,4,1.9337088501777843e-7
55,4,1.6299806224175464e-7
56,4,1.3080837957115605e-7
57,4,1.0027140129344695e-7
58,4,7.300202790694622e-8
59,4,5.00450687211565e-8
60,4,3.243441906608615e-8
61,4,2.080213614532699e-8
62,4,1.4128368258415775e-8
63,4,1.099150066967259e-8
64,4,1.0023988679695915e-8
65,4,9.929842991757946e-9
66,4,1.0614540379535112e-8
67,4,1.2201082921175939e-8
68,4,1.4458915278788222e-8
69,4,1.652728067082808e-8
70,4,1.6755540823474172e-8
71,4,1.6076658004790774e-8
72,4,1.4486614722907967e-8
73,4,1.3672456537808172e-8
74,4,1.3244065063366396e-8
75,4,1.3075043357571875e-8
76,4,1.2994579220716002e-8
77,4,1.2803349772907616e-8
78,4,1.2495058505757323e-8
79,4,1.1984554642918208e-8
80,4,1.0996003449491092e-8
81,4,9.293677411586129e-9
82,4,7.35372158990955e-9
83,4,5.231205538109703e-9
84,4,3.1425576006622185e-9
85,4,1.2766131156744476e-9
86,4,2.578992740426357e-10
87,4,4.751289337855004e-11
88,4,8.170258279654388e-12
