x,y,C
36,5,7.76530745102025e-17
37,5,8.865374675886284e-17
38,5,1.0138252787807856e-16
39,5,1.161659984489339e-16
40,5,1.3337621335652412e-16
41,5,1.5341971610932812e-16
42,5,1.7673531257644875e-16
43,5,2.0380660297344463e-16
44,5,2.351915424611936e-16
45,5,2.715674530208072e-16
46,5,3.1378751570012467e-16
47,5,3.629446224128949e-16
48,5,4.204404034813631e-16
49,5,4.880603670902805e-16
50,5,5.680595105891115e-16
51,5,6.632653789379399e-16
52,5,7.7720802576375e-16
53,5,9.1428738433269e-16
54,5,1.079993087548054e-15
55,5,1.2811919458123146e-15
56,5,1.5265137747187874e-15
57,5,1.8268386005866157e-15
58,5,2.1959764466338774e-15
59,5,2.6514624746483777e-15
60,5,3.2158014401865964e-15
61,5,3.917529591690098e-15
62,5,4.794112037501073e-15
63,5,5.892288672328702e-15
64,5,7.276569808166458e-15
65,5,9.02072120934275e-15
66,5,1.1209210889751653e-14
67,5,1.3964051392286348e-14
68,5,1.7438835392198946e-14
69,5,2.1827082868445338e-14
70,5,2.7377964817339797e-14
71,5,3.440861609290857e-14
72,5,4.32986735040359e-14
73,5,5.4478768351609044e-14
74,5,6.844434152152617e-14
75,5,8.578700881111865e-14
76,5,1.0718419262749646e-13
77,5,1.3333030426333969e-13
78,5,1.648732994991532e-13
79,5,2.0239239004577748e-13
80,5,2.4639585074213113e-13
81,5,2.9732930734945047e-13
82,5,3.5546679828335493e-13
83,5,4.2039111370639e-13
84,5,4.90208185865127e-13
85,5,5.62552879235997e-13
86,5,6.171659872310279e-13
87,5,6.265926446478728e-13
88,5,6.224403823986915e-13
89,5,5.605176230811256e-13
90,5,3.656445993570378e-13
91,5,1.5859371623706032e-13
92,5,2.6570023052794106e-14
93,5,3.5168443355922276e-15
94,5,4.3988763161949334e-16
95,5,5.402602963277678e-17
96,5,1.041920388155393e-17
97,5,6.784576121463842e-18
98,5,7.046461761263983e-18
99,5,9.73914860812137e-18
100,5,1.718978519906955e-17
101,5,3.161822538218186e-17
102,5,4.919136869091752e-17
103,5,8.513103601807931e-17
104,5,1.3082816404061802e-16
105,5,2.2618684558056204e-16
106,5,3.4399237948740347e-16
107,5,5.803350355504681e-16
108,5,9.143967202323616e-16
109,5,1.4243253048970342e-15
110,5,2.4493930205578923e-15
111,5,3.676287470462661e-15
112,5,6.001424977697283e-15
113,5,1.0160748431248346e-14
114,5,1.5481964643738535e-14
115,5,2.6970020135484062e-14
116,5,4.3804447630314367e-14
117,5,7.488185115403614e-14
118,5,1.3395334210918745e-13
119,5,2.562589454732808e-13
120,5,5.604176189735117e-13
121,5,1.4861789539564713e-12
122,5,4.566116666604832e-12
123,5,1.4541546316960552e-11
124,5,5.504555492951058e-11
125,5,4.0974806222515545e-10
126,5,7.025218815296961e-9
127,5,4.477097040964965e-8
128,5,4.714519157461362e-8
1,6,5.466694815544692e-9
2,6,3.0012457225472896e-11
3,6,1.3939225287225258e-11
4,6,1.164274616283326e-11
5,6,1.0395474889560232e-11
6,6,9.519547003359549e-12
7,6,8.481017382062716e-12
8,6,7.164921968199756e-12
9,6,5.5370435664701746e-12
10,6,3.8501301832552245e-12
11,6,2.3053297113588366e-12
12,6,1.142656559163613e-12
13,6,4.87357928024659e-13
14,6,1.6374239954923376e-13
15,6,4.371658084901917e-14
16,6,1.045807186392955e-14
17,6,2.422225715154922e-15
18,6,5.610915762929758e-16
19,6,1.325132720365213e-16
20,6,3.242312371815553e-17
21,6,8.321467237981731e-18
22,6,2.2727732190715453e-18
23,6,7.041645282681922e-19
24,6,3.061670477377506e-19
25,6,2.204873680597978e-19
26,6,2.095273946480124e-19
27,6,2.0970774102307764e-19
28,6,2.1194957940476699e-19
29,6,2.1811437341172123e-19
30,6,2.2768788821751647e-19
31,6,2.410546586495233e-19
32,6,2.603799168429085e-19
33,6,2.874476426306297e-19
34,6,3.2349078746053977e-19
35,6,3.6946287627053883e-19
36,6,4.2643609846790826e-19
37,6,4.958962018501953e-19
38,6,5.798835871485393e-19
39,6,6.810306575556694e-19
40,6,8.025703433417959e-19
41,6,9.483792336102156e-19
42,6,1.1230986804545084e-18
43,6,1.3323603926659857e-18
44,6,1.583132195262621e-18
45,6,1.8841942212137885e-18
46,6,2.2467558919096025e-18
47,6,2.6852325121155666e-18
48,6,3.2182205361250897e-18
49,6,3.8697352143701116e-18
50,6,4.670801880591107e-18
51,6,5.661527089845378e-18
52,6,6.893858147766773e-18
53,6,8.435258275715788e-18
54,6,1.0373614600599353e-17
55,6,1.282376900540295e-17
56,6,1.5936724502282092e-17
57,6,1.9911576812628625e-17
58,6,2.5012679926407816e-17
59,6,3.1591197131473397e-17
60,6,4.012026223056364e-17
61,6,5.122815037842042e-17
62,6,6.577937099491969e-17
